ID,Source Row,Content Category Name,URL,Priority,Issue/Fix,Notes,Scope,Workstream,Status,Evidence,Tracking Issue,Content File,Drupal NID,Audit Flags
TH-012,13,National History Day Resources,https://dev.teachinghistory.org/national-resource-centers/,High,"create placeholder page at this link that says ""National History Day Resources are currently in development. Check back here soon!""",There is a button at the bottom of the site that leads here and it is currently a 404 error message.,Page,Site chrome,Open,No National History Day Resources placeholder currently exists.,https://github.com/chnm/teachinghistory-hugo/issues/22,,,content_not_matched
TH-013,14,Featured Activity Button (Teaching Materials),https://dev.teachinghistory.org/teaching-materials/#,Low,delete the Featured Activity button,The Featured Activity button at the bottom of the teaching materials page (in the Quick Links) just lands on the teaching materials page again.,Global,Site chrome,Open,Featured Activity placeholder remains in the shared footer.,https://github.com/chnm/teachinghistory-hugo/issues/22,teaching-materials/_index.md,,
TH-014,15,Featured Activity Button (History Content),https://dev.teachinghistory.org/history-content/,Low,delete the Featured Activity button,The Featured Activity button at the bottom of the History Content page (in the Quick Links) just lands on the History Content page again.,Global,Site chrome,Open,Featured Activity placeholder remains in the shared footer.,https://github.com/chnm/teachinghistory-hugo/issues/22,history-content/_index.md,,
TH-015,16,Featured Activity Button (Digital Classroom),https://dev.teachinghistory.org/digital-classroom/,Low,delete the Featured Activity button,The Featured Activity button at the bottom of the History Content page (in the Quick Links) just lands on the Digital Classroom page again.,Global,Site chrome,Open,Featured Activity placeholder remains in the shared footer.,https://github.com/chnm/teachinghistory-hugo/issues/22,digital-classroom/_index.md,,
TH-016,17,Featured Activity Button (Best Practices),https://dev.teachinghistory.org/best-practices/,Low,delete the Featured Activity button,The Featured Activity button at the bottom of the History Content page (in the Quick Links) just lands on the Best Practices page again.,Global,Site chrome,Open,Featured Activity placeholder remains in the shared footer.,https://github.com/chnm/teachinghistory-hugo/issues/22,best-practices/_index.md,,
TH-017,18,Website Review,https://dev.teachinghistory.org/history-content/website-reviews/,High,alter transfer to bring over all sidebar material,This is a category wide issue. The sidebar information from Drupal is not fully transferring over which means there is no link for the website reviews.,Category,Resources,Open,Website Review link/sidebar fields are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,history-content/website-reviews/_index.md,,
TH-018,19,Website Review,https://dev.teachinghistory.org/history-content/website-reviews/race-and-ethnicity-in-advertising/,Medium,missing thumnail image,no image for when this review is part of a list.,Page,Images,Open,No real thumbnail is mapped for this Website Review.,https://github.com/chnm/teachinghistory-hugo/issues/23,history-content/website-reviews/race-and-ethnicity-in-advertising-25842.md,25842,
TH-019,20,Website Review,https://dev.teachinghistory.org/history-content/website-reviews/history-unfolded-us-newspapers-and-the-holocaust/,Medium,missing thumbnail image,no image for when this review is part of a list.,Page,Images,Open,No real thumbnail is mapped for this Website Review.,https://github.com/chnm/teachinghistory-hugo/issues/23,history-content/website-reviews/history-unfolded-us-newspapers-and-the-holocaust-25818.md,25818,
TH-020,21,Quizzes,https://dev.teachinghistory.org/history-content/quiz/celebrate-more-than-st-patrick/,High,alter transfer to bring over all sidebar material,Quizes are still not transferring over the pdfs or link from the Drupal sidebar.,Category,Resources,Open,Quiz PDF/link fields are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,history-content/quiz/celebrate-more-than-st-patrick-24196.md,24196,
TH-021,22,National Resources,https://dev.teachinghistory.org/history-content/national-resources/,High,alter transfer to bring over all sidebar material,Does not have website links from Drupal sidebar,Category,Resources,Open,National Resources website links are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,history-content/national-resources/_index.md,,
TH-022,23,Ex of Historical thinking,https://dev.teachinghistory.org/best-practices/examples-of-historical-thinking/piscataway-park-and-tobacco-farming/,High,fix transcripts,"When there are multiple videos to toggle between, the transcripts to not change with them (possible that not all of them transferred). Not just at the given URL, but that URL is an example.",Category,Video,Open,Multiple transcript values are flattened instead of aligned by video delta.,https://github.com/chnm/teachinghistory-hugo/issues/7,best-practices/examples-of-historical-thinking/piscataway-park-and-tobacco-farming-25862.md,25862,
TH-023,24,Teaching in Action,https://dev.teachinghistory.org/best-practices/teaching-in-action/recreating-the-cuban-missile-crisis/,High,fix transcripts,"When there are multiple videos to toggle between, the transcripts to not change with them. Not just at the given URL, but that URL is an example.",Category,Video,Open,Multiple transcript values are flattened instead of aligned by video delta.,https://github.com/chnm/teachinghistory-hugo/issues/7,best-practices/teaching-in-action/recreating-the-cuban-missile-crisis-25706.md,25706,
TH-024,25,Teaching with Textbooks,https://dev.teachinghistory.org/best-practices/teaching-with-textbooks/25584/,Low,"alter transfer to bring over ""for more information"" section","did not transfer over the ""for more information"" box at the bottom of the page. The url given is just an example.",Category,Body content,Open,For More Information is not modeled as a titled structured section.,https://github.com/chnm/teachinghistory-hugo/issues/20,best-practices/teaching-with-textbooks/learning-menus-textbooks-a-la-carte-25584.md,25584,
TH-025,26,Using Primary Sources,https://dev.teachinghistory.org/best-practices/using-primary-sources/focus-on-film/,High,alter transfer to bring over all sidebar material,url given is an example,Category,Resources,Open,Using Primary Sources sidebar fields are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,best-practices/using-primary-sources/focus-on-film-25232.md,25232,
TH-026,27,Tech for Teachers,https://dev.teachinghistory.org/digital-classroom/tech-for-teachers/chronozoom/,High,alter transfer to bring over all main body of content,"for some reason the main body of content is missing. the url is just an example, this is the drupal link for comparison: https://teachinghistory.org/digital-classroom/tech-for-teachers/25836",Category,Body content,Open,Representative migrated page has a suspiciously short body.,https://github.com/chnm/teachinghistory-hugo/issues/20,digital-classroom/tech-for-teachers/chronozoom-25836.md,25836,short_body
TH-027,28,Beyond the Chalkboard,https://dev.teachinghistory.org/digital-classroom/beyond-the-chalkboard/25163/,High,alter transfer to bring over all main body of content,url given is just an example. main content missing.,Category,Body content,Open,Representative migrated page is missing its main body.,https://github.com/chnm/teachinghistory-hugo/issues/20,digital-classroom/beyond-the-chalkboard/crosscurricular-multimedia-ap-us-history-and-govt-classes-collaborate-25163.md,25163,
TH-028,29,Beyond the Chalkboard,https://dev.teachinghistory.org/digital-classroom/beyond-the-chalkboard/25163/,Low,"alter transfer to bring over ""for more information"" section","url given is just an example. the ""for more information"" (that for some reason is on the back end of the drupal post but does not appear to the user when reading the post) transferred but without the title.",Page,Body content,Open,Supplementary content transferred without a section title.,https://github.com/chnm/teachinghistory-hugo/issues/20,digital-classroom/beyond-the-chalkboard/crosscurricular-multimedia-ap-us-history-and-govt-classes-collaborate-25163.md,25163,
TH-029,30,Teaching Guides,https://dev.teachinghistory.org/teaching-materials/teaching-guides/25882/,High,alter transfer to bring over all sidebar material,,Category,Resources,Open,Teaching Guide sidebar fields are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,teaching-materials/teaching-guides/incorporating-20th-century-us-environmental-history-in-the-6-12-classroom-25882.md,25882,
TH-030,31,Teaching Guides,https://dev.teachinghistory.org/teaching-materials/teaching-guides/25882/,Medium,bring over all images embedded in the main content,,Category,Images,Open,Embedded main-body images require extraction and asset validation.,https://github.com/chnm/teachinghistory-hugo/issues/23,teaching-materials/teaching-guides/incorporating-20th-century-us-environmental-history-in-the-6-12-classroom-25882.md,25882,
TH-031,32,Teaching Guides,https://dev.teachinghistory.org/teaching-materials/teaching-guides/25882/,Low,"collapse two separate ""At a Glance"" boxes to make one","Even though the entire sidebar did not fully transfer over, on the dev page there are two At A Glance boxes instead of one combined one.",Page,Body content,Open,At a Glance metadata is rendered in separate panels.,https://github.com/chnm/teachinghistory-hugo/issues/20,teaching-materials/teaching-guides/incorporating-20th-century-us-environmental-history-in-the-6-12-classroom-25882.md,25882,
TH-032,33,Ask a Digital Historian,https://dev.teachinghistory.org/digital-classroom/ask-a-digital-historian/24089/,Medium,alter transfer to bring over only one copy of main body of content,Some (not sure about all) of these posts have the main content twice.,Category,Body content,Open,The example page contains a repeated substantial body section.,https://github.com/chnm/teachinghistory-hugo/issues/20,digital-classroom/ask-a-digital-historian/beyond-google-searching-24089.md,24089,duplicate_body
TH-033,34,Ask a Historian,https://dev.teachinghistory.org/history-content/ask-a-historian/25769/,Low,"alter transfer to bring over title of ""for more information"" section","The ""for more information"" content transferred, but without the title.",Category,Body content,Open,For More Information content transferred without its heading.,https://github.com/chnm/teachinghistory-hugo/issues/20,history-content/ask-a-historian/hawaiian-statehood-25769.md,25769,
TH-034,35,Ask an Educator (Master Teacher),https://dev.teachinghistory.org/teaching-materials/ask-a-master-teacher/25626/,Low,"collapse two separate ""At a Glance"" boxes to make one","There are two ""At a Glance"" boxes. One has the short description and the other lists the applicable grade levels.",Page,Body content,Open,At a Glance description and grade metadata render separately.,https://github.com/chnm/teachinghistory-hugo/issues/20,teaching-materials/ask-a-master-teacher/exploring-historical-fiction-25626.md,25626,
TH-035,36,Ask an Educator (Master Teacher),https://dev.teachinghistory.org/digital-classroom/ask-a-digital-historian/24089/,Medium,alter transfer to bring over only one copy of main body of content,Some (not sure about all) of these posts have the main content twice.,Page,Body content,Duplicate,Duplicates TH-032 and uses an Ask Digital Historian URL under Ask an Educator.,https://github.com/chnm/teachinghistory-hugo/issues/20,digital-classroom/ask-a-digital-historian/beyond-google-searching-24089.md,24089,duplicate_body
TH-036,37,Blog,https://dev.teachinghistory.org/nhec-blog/23672/,Low,"alter transfer to create ""Related Materials"" section","Blogs on the drupal site had an ""also of interest"" section that functioned similarly. The transfer didn't bring that over, which is understandable and good, but there were a couple of blog posts that didn't have a related materials section at all.",Page,Body content,Open,Related Materials behavior is undefined when no relationships transfer.,https://github.com/chnm/teachinghistory-hugo/issues/20,blog/a-national-plan-for-educational-technology-23672.md,23672,
TH-037,38,Many content areas,,Low,alter transfer of sidebar to fix link,"There is just the literal text of a link in the description.
Noticed it on these pages: https://dev.teachinghistory.org/teaching-materials/english-language-learners/
https://dev.teachinghistory.org/teaching-materials/english-language-learners/24132/",Global,Resources,Open,Markdown links are rendered literally in sidebar descriptions.,https://github.com/chnm/teachinghistory-hugo/issues/25,,,
TH-038,39,Ex of Historical thinking,https://dev.teachinghistory.org/best-practices/examples-of-historical-thinking/piscataway-park-and-tobacco-farming/,Low,alter transfer to bring over all sidebar material,The description on the dev page does not match the description on the drupal page. Linked page is an example.,Category,Resources,Open,Historical Thinking descriptions do not consistently match Drupal.,https://github.com/chnm/teachinghistory-hugo/issues/25,best-practices/examples-of-historical-thinking/piscataway-park-and-tobacco-farming-25862.md,25862,
TH-039,40,Ex of Historical thinking,,Low,alter transfer to bring over all sidebar material,Transfer is not bringing over the pdf attachements from the Drupal sidebar. Not every page has one.,Category,Resources,Open,PDF attachments are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,,,
TH-040,41,Teaching in Action,https://dev.teachinghistory.org/best-practices/teaching-in-action/24176/,Medium,alter transfer to bring over all sidebar material,Transfer is not bringing over the pdfs or link from the sidebar.,Page,Resources,Open,Teaching in Action PDFs and sidebar links are not fully extracted.,https://github.com/chnm/teachinghistory-hugo/issues/25,best-practices/teaching-in-action/fdrs-fireside-chats-24176.md,24176,
TH-041,42,Teaching in Action,https://dev.teachinghistory.org/best-practices/teaching-in-action/24176/,Low,alter transfer to bring over all sidebar material,The description in the At a Glance is incomplete. Also the description text was put into the main content and that should be removed,Page,Body content,Open,Description is incomplete and duplicated into the main body.,https://github.com/chnm/teachinghistory-hugo/issues/20,best-practices/teaching-in-action/fdrs-fireside-chats-24176.md,24176,
